bill_id,title,congress,chamber,sponsor,introduced_date,latest_action,policy_area,entity_names
106-hr-5494,To ensure that certain property which was taken into trust by the United States for the benefit of the Poarch Band of Creek Indians of Alabama to protect such land from development shall not be used for gaming.,106,House,"Rep. Riley, Bob [R-AL-3]",2000-10-18,Referred to the House Committee on Resources.,Native Americans,Poarch
106-hr-562,"To approve and ratify certain transfers of land and natural resources by or on behalf of the Delaware Nation of Indians, and for other purposes.",106,House,"Rep. Saxton, Jim [R-NJ-3]",1999-02-03,"Placed on the Union Calendar, Calendar No. 121.",Native Americans,Delaware Nation
106-hr-5681,Regarding the use of the trust land and resources of the Confederated Tribes of the Warm Springs Reservation of Oregon.,106,House,"Rep. Walden, Greg [R-OR-2]",2000-12-15,Referred to the House Committee on Resources.,Native Americans,Warm Springs Tribe
106-hr-795,Chippewa Cree Tribe of the Rocky Boy's Reservation Indian Reserved Water Rights Settlement and Water Supply Enhancement Act of 1999,106,House,"Rep. Hill, Rick [R-MT-At Large]",1999-02-23,Received in the Senate and read twice and referred to the Committee on Indian Affairs.,Native Americans,Chippewa-Cree
106-s-1021,A bill to provide for the settlement of claims of the Menominee Indian Tribe of Wisconsin.,106,Senate,"Sen. Kohl, Herb [D-WI]",1999-05-12,Read twice and referred to the Committee on Judiciary.,Native Americans,Menominee
106-s-1148,Yankton Sioux Tribe and Santee Sioux Tribe Equitable Compensation Act,106,Senate,"Sen. Daschle, Thomas A. [D-SD]",1999-05-27,Placed on Senate Legislative Calendar under General Orders. Calendar No. 744.,Native Americans,Santee Sioux|Yankton
106-s-1315,"A bill to permit the leasing of oil and gas rights on certain lands held in trust for the Navajo Nation or allotted to a member of the Navajo Nation, in any case in which there is consent from a specified percentage interest in the parcel of land under consideration for lease.",106,Senate,"Sen. Bingaman, Jeff [D-NM]",1999-07-01,Committee on Indian Affairs. Ordered to be reported with an amendment in the nature of a substitute favorably.,Native Americans,Navajo
106-s-1839,A bill to provide that land which is owned by the Lower Sioux Indian Community in the State of Minnesota but which is not held in trust by the United States for the Community may be leased or transferred by the Community without further approval by the United States.,106,Senate,"Sen. Wellstone, Paul D. [D-MN]",1999-11-01,Read twice and referred to the Committee on Indian Affairs.,Native Americans,Lower Sioux
106-s-1967,"A bill to make technical corrections to the status of certain land held in trust for the Mississippi Band of Choctaw Indians, to take certain land into trust for that Band, and for other purposes.",106,Senate,"Sen. Cochran, Thad [R-MS]",1999-11-18,Became Public Law No: 106-228.,Native Americans,Mississippi Choctaw
106-s-2665,Navajo Nation Trust Land Leasing Act of 2000,106,Senate,"Sen. Kyl, Jon [R-AZ]",2000-05-25,Placed on Senate Legislative Calendar under General Orders. Calendar No. 954.,Native Americans,Navajo
106-s-2751,Washoe Indian Tribe Land Conveyance Act of 2000,106,Senate,"Sen. Reid, Harry [D-NV]",2000-06-19,Referred to the House Committee on Resources.,Public Lands and Natural Resources,Washoe
106-s-2792,A bill to provide that land which is owned by the Coushatta Tribe of Louisiana but which is not held in trust by the United States for the Tribe may be leased or transferred by the Tribe without further approval by the United States.,106,Senate,"Sen. Breaux, John B. [D-LA]",2000-06-27,Read twice and referred to the Committee on Indian Affairs.,Native Americans,Coushatta
